Iteracion NumIndividuos MejorFitness MejorGenotipo PeorFitness PeorGenotipo MediaFitness 
*******************************************************************************************

2017_02_15_21_48_24 -> MUY BUENA ITERACION 

00 08 5.843750000000001 16.575 9.73984375
01 09 5.843750000000001 16.575 10.135416666666666
02 10 1.4875 16.575 9.270624999999999
03 10 1.4875 16.575 9.270624999999999
04 10 1.4875 16.575 9.270624999999999
05 10 1.4875 16.575 9.270624999999999
06 10 1.4875 16.575 9.270624999999999
07 10 1.4875 16.575 9.270624999999999
08 10 1.4875 24.031249999999996 10.01625
09 10 1.4875 24.031249999999996 10.01625
10 10 1.4875 27.862499999999994 10.399375
11 10 1.4875 27.862499999999994 10.399375
12 10 1.4875 17.737499999999997 9.095625
13 10 1.4875 31.46875 10.46875
14 10 1.4875 31.46875 10.46875
15 10 1.4875 24.156250000000004 9.7375
16 10 1.4875 24.156250000000004 9.7375
17 10 1.4875 22.696875 9.591562499999998
18 10 1.4875 22.696875 9.591562499999998
19 10 1.4875 22.696875 9.591562499999998
20 10 1.4875 23.29375 9.651250000000001
21 10 1.4875 23.29375 9.651250000000001
22 10 1.4875 23.29375 9.651250000000001
23 10 1.4875 23.29375 9.651250000000001
24 10 1.4875 23.29375 9.651250000000001
25 10 1.4875 18.01875 9.12375
26 10 1.4875 18.01875 9.12375
27 10 1.4875 18.01875 9.12375
28 10 1.4875 18.01875 9.12375
29 10 1.4875 25.099999999999998 9.831875
30 10 1.4875 23.874999999999996 9.709375
31 10 1.4875 23.874999999999996 9.709375
32 10 1.4875 23.874999999999996 9.709375
33 10 1.4875 25.537499999999998 9.875625
34 10 1.4875 25.537499999999998 9.875625
35 10 1.4875 21.11875 9.43375
36 10 1.4875 21.11875 9.43375
37 10 1.4875 21.11875 9.43375
38 10 1.4875 21.11875 9.43375
39 10 1.4875 21.11875 9.43375
40 10 1.4875 21.11875 9.43375
41 10 1.4875 22.24375 10.0996875
42 10 1.4875 31.34375 11.0096875
43 10 1.4875 31.34375 11.0096875
44 10 1.4875 31.34375 11.0096875
45 10 1.4875 31.34375 11.0096875
46 10 1.4875 31.34375 11.0096875
47 10 1.4875 24.16875 10.292187499999999
48 10 1.4875 25.674999999999997 10.4428125
49 10 1.4875 22.609375000000007 10.13625
50 10 1.4875 22.609375000000007 10.13625
51 10 1.4875 22.609375000000007 10.13625
52 10 1.4875 22.609375000000007 10.13625
53 10 1.4875 22.609375000000007 10.13625
54 10 1.4875 22.609375000000007 10.13625
55 10 1.4875 22.609375000000007 10.13625
56 10 1.4875 22.609375000000007 10.13625
57 10 1.4875 22.609375000000007 10.13625
58 10 1.4875 26.659375 10.541250000000002
59 10 1.4875 26.659375 10.541250000000002
60 10 1.4875 26.659375 10.541250000000002
61 10 1.4875 26.659375 10.541250000000002
62 10 1.4875 26.659375 10.541250000000002
63 10 1.4875 16.075 9.4828125
64 10 1.4875 22.784375 10.15375
65 10 1.4875 22.784375 10.573125000000001
66 10 1.4875 22.784375 10.573125000000001
67 10 1.4875 22.784375 10.573125000000001
68 10 1.4875 28.734375000000007 11.168125000000002
69 10 1.4875 28.734375000000007 11.168125000000002
70 10 1.4875 28.734375000000007 11.168125000000002
71 10 1.4875 28.734375000000007 11.168125000000002
72 10 1.4875 28.734375000000007 11.168125000000002
73 10 1.4875 28.734375000000007 11.168125000000002
74 10 1.4875 28.734375000000007 11.168125000000002
75 10 1.4875 28.734375000000007 11.168125000000002
76 10 1.4875 28.734375000000007 11.168125000000002
77 10 1.4875 28.734375000000007 11.168125000000002
78 10 1.4875 28.734375000000007 11.168125000000002
79 10 1.4875 28.734375000000007 11.168125000000002
80 10 1.4875 28.734375000000007 11.168125000000002
81 10 1.4875 15.581250000000002 9.8528125
82 10 1.4875 15.581250000000002 9.8528125
83 10 1.4875 27.249999999999993 12.2546875
84 10 1.4875 27.249999999999993 12.2546875
85 10 1.4875 27.249999999999993 12.2546875
86 10 1.4875 27.249999999999993 12.2546875
87 10 1.4875 27.249999999999993 12.2546875
88 10 1.4875 27.249999999999993 12.2546875
89 10 1.4875 27.249999999999993 12.2546875
90 10 1.4875 27.249999999999993 12.2546875
91 10 1.4875 27.249999999999993 12.2546875
92 10 1.4875 27.249999999999993 12.2546875
93 10 1.4875 27.249999999999993 12.2546875
94 10 1.4875 27.249999999999993 12.2546875
95 10 1.4875 27.249999999999993 12.2546875
96 10 1.4875 27.249999999999993 12.2546875
97 10 1.4875 27.249999999999993 12.2546875
98 10 1.4875 27.249999999999993 12.2546875
99 10 1.4875 23.893749999999997 10.624375


*******************************************************************************************
Iteracion NumIndividuos MejorFitness MejorGenotipo PeorFitness PeorGenotipo MediaFitness 
2017_02_15_22_11_42 -> CLAVA LOS TESOROS Y LOS MONStRUOS (10, 8, 6 // 30, 30, 10, 05, 15)

00 03 13.4125 23.815625 18.12604166666667
01 03 13.4125 23.815625 18.12604166666667
02 03 13.4125 23.815625 18.12604166666667
03 03 13.4125 23.815625 18.12604166666667
04 03 13.4125 31.068749999999998 20.54375
05 04 13.4125 31.068749999999998 20.5515625
06 05 5.6875 31.068749999999998 17.57875
07 05 5.6875 31.068749999999998 17.57875
08 06 5.6875 31.068749999999998 18.053124999999998
09 06 5.6875 20.574999999999996 15.794791666666667
10 07 5.6875 20.424999999999997 16.222767857142856
11 07 5.6875 20.424999999999997 16.222767857142856
12 09 5.6875 24.596874999999994 15.151041666666666
13 10 5.6875 19.540624999999995 13.874374999999997
14 10 5.6875 28.931250000000002 14.813437500000001
15 10 5.6875 21.228125000000002 14.043125
16 10 5.6875 21.228125000000002 14.043125
17 10 5.6875 21.228125000000002 14.043125
18 10 5.6875 21.228125000000002 14.043125
19 10 5.6875 29.343750000000004 15.280000000000001
20 10 5.6875 26.90625 15.03625
21 10 5.6875 21.77187500000001 13.5490625
22 10 5.6875 21.77187500000001 13.5490625
23 10 5.6875 21.77187500000001 13.5490625
24 10 5.6875 21.77187500000001 13.5490625
25 10 5.6875 21.77187500000001 13.5490625
26 10 5.6875 24.309375000000003 13.3565625
27 10 5.6875 24.309375000000003 13.3565625
28 10 5.6875 17.012500000000003 12.626875000000002
29 10 5.6875 17.012500000000003 12.626875000000002
30 10 5.6875 28.703125000000007 13.795937499999999
31 10 5.6875 28.703125000000007 13.795937499999999
32 10 5.6875 28.703125000000007 13.795937499999999
33 10 5.6875 28.703125000000007 13.795937499999999
34 10 5.6875 28.703125000000007 13.795937499999999
35 10 5.6875 24.568749999999998 13.382499999999999
36 10 5.6875 24.568749999999998 13.382499999999999
37 10 5.6875 26.309374999999996 13.556562499999998
38 10 5.6875 26.309374999999996 13.556562499999998
39 10 5.6875 26.309374999999996 13.556562499999998
